ux,uy,uz,p
0.7253247,0.00327245,-0.0181433,-0.01001712
0.7155094,0.004144421,-0.02070829,-0.009989616
0.7117556,0.005018966,-0.02313463,-0.009958281
0.716058,0.00555062,-0.02519258,-0.009918268
0.7283437,0.005451962,-0.02652518,-0.009865925
0.8179201,-0.0008399779,-0.01089496,-0.01015439
0.8064291,0.0001197711,-0.01013977,-0.01012701
0.790263,0.001281224,-0.01067489,-0.01009966
0.773137,0.002232566,-0.01249777,-0.01007053
0.757542,0.002927178,-0.01513268,-0.01004103
0.7443876,0.003623408,-0.01804841,-0.01001328
0.7350913,0.004483926,-0.0209414,-0.009986635
0.7322232,0.005356107,-0.02362461,-0.00995728
0.7377132,0.005878667,-0.02582829,-0.009920232
0.7512299,0.005740845,-0.02718972,-0.00987131
0.8378235,-0.0009476434,-0.01017668,-0.01015314
0.8259876,0.0001441328,-0.009348514,-0.01012539
0.8092334,0.001479893,-0.009833056,-0.01009742
0.7915258,0.002568807,-0.0117148,-0.0100674
0.7756835,0.003318364,-0.01454603,-0.01003717
0.7627067,0.00401033,-0.0177484,-0.01000929
0.7539724,0.004850964,-0.02094152,-0.009983468
0.7520456,0.005705694,-0.02386736,-0.009956149
0.758756,0.006201063,-0.0262092,-0.009922252
0.7734596,0.006005556,-0.02759745,-0.00987703
0.8566316,-0.001093373,-0.009580627,-0.01015192
0.8445878,0.0001301405,-0.008663266,-0.01012391
0.827372,0.001657083,-0.009038314,-0.01009536
0.8091365,0.002910719,-0.01089209,-0.01006441
0.7930481,0.003736166,-0.01383268,-0.01003335
0.7802464,0.004430125,-0.01725344,-0.01000526
0.7720833,0.005243509,-0.020701,-0.009980224
0.771108,0.006064233,-0.02384172,-0.009954974
0.7790182,0.006511386,-0.02630625,-0.00992437
0.7948087,0.006236867,-0.02771714,-0.009883096
0.874231,-0.001281206,-0.009135675,-0.01015074
0.8621382,6.786251E-05,-0.008126286,-0.01012257
0.8446268,0.001798506,-0.008342537,-0.01009352
0.8259519,0.003244557,-0.01008063,-0.01006165
0.8096298,0.004170869,-0.01303221,-0.01002969
0.7969865,0.004877118,-0.01658611,-0.01000132
0.7893698,0.0056578,-0.02022496,-0.009977027
0.7893061,0.006427336,-0.02353869,-0.009953845
0.7983373,0.006803084,-0.02610205,-0.009926628
0.8150578,0.006426257,-0.02752886,-0.009889495
0.8905205,-0.001512456,-0.008856389,-0.01014955
0.8785492,-5.057986E-05,-0.007768159,-0.01012135
0.8609421,0.001889867,-0.007792128,-0.01009193
0.8419549,0.003554472,-0.009333483,-0.01005918
0.8254296,0.004609769,-0.01219262,-0.0100263
0.8129204,0.005342889,-0.01578129,-0.009997604
0.8057949,0.006088217,-0.01953258,-0.009973996
0.8065538,0.006789878,-0.02296387,-0.009952848
0.8165678,0.00707004,-0.02559373,-0.009929052
0.8340085,0.006566874,-0.02702679,-0.009896193
0.9054193,-0.001784857,-0.008741415,-0.01014826
0.8937396,-0.0002296389,-0.00760445,-0.01012017
0.8762602,0.001918373,-0.007423481,-0.01009054
0.8571249,0.003823581,-0.00870148,-0.01005705
0.8404523,0.005037624,-0.01136716,-0.01002327
0.8280539,0.005816342,-0.01488477,-0.009994219
0.821341,0.006527266,-0.01865735,-0.009971243
0.8227884,0.007146193,-0.02213874,-0.009952057
0.8335927,0.007307137,-0.02479472,-0.009931649
0.8514994,0.006654425,-0.02622093,-0.009903126
0.9188753,-0.002091992,-0.008773804,-0.01014678
0.9076432,-0.000469127,-0.007633921,-0.01011889
0.8905241,0.001874399,-0.007259162,-0.01008926
0.8714375,0.004035373,-0.008228572,-0.01005522
0.8547029,0.005437481,-0.01061033,-0.01002065
0.8424015,0.00628403,-0.01395047,-0.009991249
0.836009,0.006965707,-0.01764572,-0.009968855
0.8379761,0.00749028,-0.02110049,-0.009951526
0.8493333,0.007510684,-0.02373506,-0.009934406
0.8674206,0.006687779,-0.02513716,-0.009910203
0.9308708,-0.002423139,-0.008923236,-0.01014496
0.920217,-0.0007633882,-0.007838652,-0.01011736
0.9036835,0.001753054,-0.007305385,-0.01008795
0.8848647,0.004175372,-0.007947527,-0.01005363
0.8681836,0.005791834,-0.009973238,-0.01001844
0.8559828,0.006730765,-0.01303651,-0.009988741
0.8498169,0.00739278,-0.01655433,-0.009966888
0.8521131,0.00781592,-0.0199001,-0.009951282
0.8637556,0.007678588,-0.02245983,-0.009937284
0.8817232,0.00666912,-0.02381558,-0.009917308
0.9414271,-0.002763617,-0.009149792,-0.01014266
0.9314477,-0.001101046,-0.008186073,-0.0101154
0.9157009,0.001555424,-0.007551141,-0.01008641
0.8973772,0.004232829,-0.007876448,-0.01005214
0.8808919,0.006084042,-0.009498818,-0.01001658
0.8688188,0.007140475,-0.0122004,-0.0099867
0.8627956,0.007796583,-0.01544561,-0.009965364
0.865225,0.008116715,-0.01859869,-0.009951329
0.8768719,0.007810174,-0.0210259,-0.00994023
